*   SRC: D:\iGPS\example\profile\p_auto\profile_009_vel.psxy
*  PROG: SAR_LOS_PROFILE_FIT
*RUN BY: tianyf @ T [Intel64 Family 6 Model 61 Stepping 4, GenuineIntel]
*RUN AT: Microsoft Windows x86_64
*RUN ON: Wed Jan 03 06:42:59 2024 [UTC]
* original header:
*   SRC: D:\iGPS\example\profile\Supp_Table_S1.psvelo &
*   SRC: D:\iGPS\example\profile\p_auto\profiles_auto.psxy
*  PROG: VEL_PROFILES
*RUN BY: tianyf @ T [Intel64 Family 6 Model 61 Stepping 4, GenuineIntel]
*RUN AT: Microsoft Windows x86_64
*RUN ON: Sat Mar 28 04:32:44 2020 [UTC]
# PSXY_PROFILE    96.262    23.851
# PSXY_PROFILE   103.884    28.535
# PSXY_FAULT_PROFILE_INTERSECT   100.073    26.193
# PSXY_FAULT_TRACE   101.465    24.158
# PSXY_FAULT_TRACE   100.955    24.820
# PSXY_FAULT_TRACE   100.523    25.245
# PSXY_FAULT_TRACE   100.302    25.566
# PSXY_FAULT_TRACE   100.161    25.954
# PSXY_FAULT_TRACE   100.021    26.333
*site     p_long    p_lati     p_dist    v_along  ve_along     v_tang   ve_tang       long      lati dist_to_fault          ve         vn     ve_sig     vn_sig
* far-field strike-slip rates:        8.8000000000000007     locking depth:       50.0000000000000000
* far-field dip-slip rates:       12.3999999999999990
*  distance      strik-slip        ext/comp
    -114.14       9.9876471      -9.4903689      0.000     0.000
     -87.41      10.2085821      -9.0692225      0.000     0.000
     -78.77      10.3008733      -8.8876433      0.000     0.000
     -78.23      10.3070861      -8.8753113      0.000     0.000
     -40.69      10.9185389      -7.6162501      0.000     0.000
     -39.01      10.9572792      -7.5350367      0.000     0.000
     -15.93      11.6428895      -6.1373278      0.000     0.000
     -10.15      11.8681221      -5.7108050      0.000     0.000
     -10.01      11.8741926      -5.6996101      0.000     0.000
       1.32      12.3865167      -4.8161402      0.000     0.000
      21.57      13.4762790      -3.3123153      0.000     0.000
      23.60      13.5894032      -3.1795571      0.000     0.000
      24.76      13.6541043      -3.1051472      0.000     0.000
      45.60      14.7136702      -2.0015971      0.000     0.000
      48.35      14.8330041      -1.8862680      0.000     0.000
      85.69      15.9658349      -0.8048098      0.000     0.000
      86.03      15.9727564      -0.7980545      0.000     0.000
     126.22      16.5558949      -0.2086838      0.000     0.000
     128.61      16.5797634      -0.1834826      0.000     0.000
     162.68      16.8441071       0.1030649      0.000     0.000
     163.56      16.8494360       0.1089938      0.000     0.000
     181.29      16.9462016       0.2178080      0.000     0.000
     182.51      16.9521394       0.2245583      0.000     0.000
     192.00      16.9957797       0.2744390      0.000     0.000
     192.53      16.9981168       0.2771237      0.000     0.000
     199.28      17.0263884       0.3097127      0.000     0.000
