   long      lat       Ve      dVe       Vn      dVn     Vu      dVu     Cen      Ceu      Cnu  
 -118.410   33.850 -26.8119   4.3536  28.7154   0.2127   0.1142   1.5952   0.0025   0.3482   0.0121
 -118.410   34.350 -20.4161   3.0710  22.4811   0.3100   0.7349   1.3719   0.0050  -0.5778   0.0208
 -118.410   34.850 -12.9307   3.3285  15.6424   0.1476   2.0143   1.5222   0.0022  -0.6657   0.0090
 -117.910   33.350 -36.5539   3.1522  28.8582   0.1667   0.6882   1.2525   0.0020  -0.2021   0.0119
 -117.910   33.850 -18.2253   3.5569  26.2012   0.1224  -2.9546   1.4128   0.0014  -0.0466   0.0079
 -117.910   34.350 -19.2992   1.6461  19.6580   0.1543   0.8933   0.6911   0.0038  -0.2824   0.0209
 -117.910   34.850  -9.2474   2.0996  14.1603   0.1452   1.1292   0.8838   0.0026  -0.2004   0.0157
 -117.910   35.350  -5.9256   2.0714  11.0633   0.1893   1.8843   0.9071   0.0036  -0.3233   0.0203
 -117.910   35.850  -3.7677   2.5523   9.5084   0.2089   3.1770   1.1923   0.0026  -0.5813   0.0180
 -117.910   36.350  -7.9164   3.2143   6.0892   0.1736   5.2788   1.5089   0.0014  -0.5297   0.0122
 -117.410   32.850 -34.8237   5.4707  28.3310   0.4127  -3.4123   2.2350   0.0001   0.8359   0.0175
 -117.410   33.350 -26.6397   3.8712  26.5144   0.2187  -0.9114   1.5004   0.0006   0.5286   0.0135
 -117.410   33.850 -18.6128   1.8564  24.1940   0.1755   1.9999   0.7234   0.0007  -0.1032   0.0221
 -117.410   34.350 -21.0370   1.7265  15.3970   0.1690   2.9833   0.7094   0.0009  -0.1458   0.0229
 -117.410   34.850  -9.3722   1.4901  11.9692   0.1831   1.6497   0.6362   0.0019  -0.1807   0.0286
 -117.410   35.350  -2.7987   1.6110   9.4895   0.2001   1.2393   0.6574   0.0018   0.1500   0.0295
 -117.410   35.850  -3.6476   1.8359   5.7183   0.2001   1.9663   0.7926   0.0016  -0.2028   0.0256
 -117.410   36.350  -8.0262   2.0679   3.7814   0.1897   4.7791   0.9630   0.0003  -0.4813   0.0219
 -116.910   32.350 -23.1427  10.8667  28.7752   0.2279  -3.2680   4.0067   0.0003  -0.8739   0.0047
 -116.910   32.850 -28.9488   3.6721  26.8158   0.1997  -1.6668   1.4452  -0.0006  -0.1456   0.0128
 -116.910   33.350 -20.2922   2.5472  25.4528   0.1483   0.8935   1.0714  -0.0006   0.3427   0.0133
 -116.910   33.850 -15.8485   1.8603  19.9079   0.1590   1.6714   0.7928  -0.0006   0.0948   0.0199
 -116.910   34.350  -8.2458   1.6981  13.2241   0.1622   2.6316   0.7201  -0.0019   0.0066   0.0223
 -116.910   34.850  -4.3105   1.9512   8.4187   0.1728   0.3512   0.7797   0.0005  -0.4583   0.0208
 -116.910   35.350   0.8822   1.7959   6.3894   0.2522   1.4204   0.7159  -0.0007  -0.1031   0.0333
 -116.910   35.850   3.3998   2.4041   3.5157   0.1925   1.4617   0.9842  -0.0002  -0.5369   0.0192
 -116.910   36.350  -1.1321   6.8478   2.0659   0.1846  -3.6321   3.3035   0.0004  -0.7926   0.0062
 -116.410   33.350  -4.5805   5.2694  20.6476   0.1237  -1.9025   1.8090  -0.0005  -0.8259   0.0060
 -116.410   33.850  -0.6697   3.3973  14.3732   0.2015  -2.2086   1.2184  -0.0014  -0.6041   0.0148
 -116.410   34.350   0.5101   3.0050   8.8840   0.1598  -0.6961   1.1542  -0.0012  -0.3866   0.0130
 -116.410   34.850  -3.3065   3.3294   2.9072   0.1902  -1.0769   1.2960  -0.0012  -0.6455   0.0144
 -116.410   35.350   0.0701   1.7816   1.5162   0.2540   0.5344   0.7770  -0.0029   0.0680   0.0334
