#  Long.    Lat.      Ve       Vn     Se     Sn    Cne  Sta.      Source
 74.336  39.842   0.170   13.790  0.560  0.503 	0.000  I089  This_study     
 74.427  39.025  -2.620   19.140  1.401  1.504 	0.000  I399  This_study     
 74.833  38.862  -1.230   19.960  1.184  1.085 	0.000  I402  This_study     
 74.925  38.225  -0.300   20.570  1.474  0.868 	0.000  I403  This_study     
 74.951  38.662  -4.620   20.270  0.506  0.582 	0.000  I090  This_study     
 74.971  38.651  -2.760   19.650  0.250  0.238 	0.000  XJBL  This_study     
 75.234  37.775  -2.610   21.430  0.042  0.037 	0.000  TASH  This_study     
 75.238  39.740   1.790   12.470  0.174  0.208 	0.000  XJWU  This_study     
 75.250  39.718  -0.110   12.420  0.457  0.643 	0.000  I078  This_study     
 75.367  40.501   0.950   11.260  1.038  1.007 	0.000  I392  This_study     
 75.383  37.354   0.240   21.760  2.036  0.932 	0.000  I410  This_study     
 75.401  38.960   2.330   21.660  2.046  0.861 	0.000  I401  This_study     
 75.447  36.851  -4.080   21.240  0.657  0.680 	0.000  I088  This_study     
 75.579  39.321   3.480   18.720  1.702  0.895 	0.000  I397  This_study     
 75.768  37.840   1.010   21.780  1.346  1.830 	0.000  I407  This_study     
 75.899  39.196   1.650   19.460  0.419  0.456 	0.000  I081  This_study     
 75.923  39.517   2.450   16.990  0.410  0.442 	0.000  JB48  This_study     
 76.009  39.560   2.110   15.690  0.878  0.983 	0.000  I396  This_study     
 76.162  38.669   0.070   21.190  1.653  1.769 	0.000  J307  This_study     
 76.174  38.935  -0.250   19.550  0.457  0.527 	0.000  I083  This_study     
 76.512  39.806   3.990   14.570  0.610  0.401 	0.000  I077  This_study     
 76.661  38.380   1.120   20.740  1.290  0.782 	0.000  I404  This_study     
 76.734  39.497   0.550   17.330  0.669  0.364 	0.000  I079  This_study     
 76.889  40.204   0.800   13.770  0.506  0.303 	0.000  I074  This_study     
 76.981  36.848  -1.410   19.530  1.236  1.395 	0.000  I413  This_study     
 77.005  36.577  -3.620   20.330  0.567  0.374 	0.000  J047  This_study     
 77.040  37.138  -0.750   19.410  2.232  0.976 	0.000  I411  This_study     
 77.277  38.174  -1.230   20.150  0.412  0.401 	0.000  I084  This_study     
 77.356  37.501  -0.040   19.690  1.118  0.871 	0.000  I409  This_study     
 77.444  39.631   2.000   16.310  1.118  0.871 	0.000  I395  This_study     
 77.446  37.850   0.050   19.100  0.205  0.197 	0.000  XJYC  This_study     
 77.622  40.343   3.830   14.790  2.008  1.313 	0.000  I393  This_study     
 77.624  38.904  -1.020   18.960  0.511  0.503 	0.000  I082  This_study     
 77.838  37.394  -0.520   18.950  0.669  1.089 	0.000  I416  This_study     
 77.844  35.568  -1.850   18.680  2.250  1.398 	0.000  J303  This_study     
 77.949  40.877   3.630   14.380  1.226  1.602 	0.000  I388  This_study     
 78.037  39.714   0.040   17.420  0.386  0.286 	0.000  I075  This_study     
 78.069  36.338  -0.090   18.720  1.005  1.514 	0.000  I419  This_study     
 78.246  37.559  -1.510   19.050  0.565  0.412 	0.000  I086  This_study     
 78.451  40.942   1.140   15.020  0.391  0.296 	0.000  I072  This_study     
 78.540  39.777   0.100   16.590  0.315  0.299 	0.000  I076  This_study     
 78.722  36.205  -0.640   17.000  1.168  1.456 	0.000  J301  This_study     
 78.770  39.814   2.240   15.630  0.195  0.197 	0.000  XJBC  This_study     
 79.035  40.503   0.950   14.280  0.523  0.286 	0.000  I073  This_study     
 79.045  37.162  -1.210   17.370  0.193  0.208 	0.000  XJHT  This_study     
 79.098  31.887   0.050   20.190  2.502  1.864 	0.000  J308  This_study     
 79.159  35.995  -1.260   16.870  2.144  1.483 	0.000  J302  This_study     
 79.210  41.202   2.810   14.650  0.038  0.034 	0.000  WUSH  This_study     
 79.427  35.774  -1.040   16.720  1.537  1.082 	0.000  J305  This_study     
 79.435  40.035   2.780   15.600  1.066  1.640 	0.000  I394  This_study     
 79.473  35.235   0.370   16.270  1.092  1.238 	0.000  J306  This_study     
 79.516  35.615  -0.610   16.270  1.429  1.215 	0.000  J304  This_study     
 79.581  35.459  -1.780   16.960  0.678  1.133 	0.000  JB55  This_study     
 79.715  41.662   1.850   11.940  1.584  1.497 	0.000  I384  This_study     
 79.718  33.393   3.680   16.480  0.372  0.303 	0.000  XZRT  This_study     
 79.738  35.015  -0.430   16.160  1.810  1.089 	0.000  J309  This_study     
 79.800  32.427   1.380   18.500  0.353  0.350 	0.000  JB56  This_study     
 79.809  33.214   2.910   17.660  1.862  2.786 	0.000  J310  This_study     
 79.814  31.498   1.280   20.690  2.109  1.943 	0.000  J311  This_study     
 79.862  34.947  -0.200   15.990  1.427  1.021 	0.000  J312  This_study     
 79.915  36.825  -1.220   16.070  1.217  0.833 	0.000  I414  This_study     
 79.940  33.564   1.610   17.330  0.275  0.663 	0.000  J049  This_study     
 79.964  37.098  -2.810   16.260  0.838  0.609 	0.000  I087  This_study     
 79.990  36.399  -1.660   17.250  1.064  0.936 	0.000  I418  This_study     
 80.065  41.664   2.740    8.680  1.170  0.905 	0.000  I385  This_study     
 80.107  32.520   3.430   17.090  0.245  0.221 	0.000  XZGE  This_study     
 80.239  41.143   2.200   15.050  1.241  1.126 	0.000  I061  This_study     
 80.293  31.711   2.710   20.100  1.758  1.640 	0.000  J314  This_study     
 80.301  37.891  -0.940   15.850  0.770  0.878 	0.000  I406  This_study     
 80.324  33.771   1.540   17.770  1.106  2.286 	0.000  J316  This_study     
 80.341  34.438  -0.340   18.280  1.285  3.746 	0.000  J315  This_study     
 80.364  42.676   4.450    7.250  0.148  0.170 	0.000  XJZS  This_study     
 80.393  40.643   1.670   14.840  0.247  0.340 	0.000  I062  This_study     
 80.413  33.041   3.530   18.160  2.267  2.290 	0.000  J317  This_study     
 80.429  30.961   3.760   21.990  2.020  1.701 	0.000  J318  This_study     
 80.439  44.170   2.110    3.860  1.000  1.847 	0.000  I343  This_study     
 80.860  44.065   0.870    6.830  0.388  0.452 	0.000  I048  This_study     
 80.999  44.960   2.440    3.430  0.148  0.170 	0.000  XJWQ  This_study     
 81.032  44.968   0.550    3.860  0.379  0.350 	0.000  I040  This_study     
 81.124  43.490   2.580    5.490  1.339  1.167 	0.000  I356  This_study     
 81.125  43.142   2.610    7.250  0.285  0.418 	0.000  I052  This_study     
 81.176  30.290   1.700   21.840  0.360  0.269 	0.000  J045  This_study     
 81.190  32.382   2.530   18.910  0.490  0.527 	0.000  J044  This_study     
 81.303  40.495   3.680   14.900  1.012  2.225 	0.000  I391  This_study     
 81.326  44.523   2.470    5.530  0.645  1.004 	0.000  I340  This_study     
 81.345  41.601   2.150    7.110  1.153  1.446 	0.000  I059  This_study     
 81.428  30.837   5.300   19.190  0.365  0.265 	0.000  XZBG  This_study     
 81.478  36.455  -3.630   15.590  0.902  0.731 	0.000  I070  This_study     
 81.526  43.972   3.490    6.430  0.275  0.323 	0.000  XJYN  This_study     
 81.649  45.181   2.990    4.350  1.017  1.024 	0.000  I330  This_study     
 81.664  36.840  -2.950   14.170  0.346  0.293 	0.000  I068  This_study     
 81.712  44.662   3.350    4.910  1.184  1.095 	0.000  I337  This_study     
 81.742  43.650   3.510    6.650  1.714  0.888 	0.000  I354  This_study     
 81.803  41.815   2.770    7.850  0.692  0.507 	0.000  I055  This_study     
 81.856  30.716   6.220   19.070  1.787  2.279 	0.000  J320  This_study     
 81.911  43.027   2.880    7.080  0.880  1.078 	0.000  I375  This_study     
 81.969  36.433  -1.610   13.020  0.370  0.350 	0.000  XJYT  This_study     
 82.128  44.900   1.790    5.550  0.480  0.357 	0.000  I041  This_study     
 82.167  34.245   5.290   17.370  1.782  2.136 	0.000  J321  This_study     
 82.183  42.916   3.220    7.600  1.064  0.949 	0.000  I423  This_study     
 82.192  32.243   5.300   18.290  1.610  1.303 	0.000  J322  This_study     
 82.225  43.472   2.350    7.810  0.518  0.663 	0.000  I050  This_study     
 82.248  31.512   6.380   20.080  1.521  1.555 	0.000  J323  This_study     
 82.346  41.485   2.680   13.180  0.713  0.510 	0.000  I058  This_study     
 82.440  41.858   4.510   10.690  0.640  1.194 	0.000  I383  This_study     
 82.503  34.082   6.960   16.860  1.335  0.735 	0.000  J324  This_study     
 82.512  43.789   2.490    7.640  0.833  0.915 	0.000  I046  This_study     
 82.620  45.201   2.050    2.940  1.725  1.538 	0.000  I331  This_study     
 82.696  37.046  -3.790   14.030  0.400  0.891 	0.000  I067  This_study     
 82.783  44.260   3.360    5.860  1.116  1.385 	0.000  I346  This_study     
 82.785  41.216   2.620   13.640  0.282  0.361 	0.000  I060  This_study     
 82.803  35.023   6.350   17.100  0.746  0.925 	0.000  J325  This_study     
 82.832  30.389   4.460   21.440  0.657  0.568 	0.000  J046  This_study     
 82.845  43.255   4.020    5.680  1.641  1.708 	0.000  I363  This_study     
